site name,site_num,sample_id,heat_island,micro_hab,uhii_year,max_humidity,min_humidity ,sample_lat,sample_long,sample_lat_humidity,sample_long_humidity,moss_pres,num_species,species_present,Canopy cover directions 1,Canopy cover directions 2,Canopy cover directions 3,Canopy cover directions 4,can_cov,growth_sub,growth_cat,dist_walk_m,dist_walk_cat,dist_road_m,dist_road_cat,dist_water_m,dist_water_cat,direc_found,num_col,water_pres,moss_area_m2,NOTES,,,
"chess park, santa monica",1,1.1,1,greenspace,450.64,85.42520905,51.60027313,NA,NA,34.01013007,-118.4949324,1,1,,96,96,95,62,9.11,dirt,0,4.07,,NA,,NA,,center,NA,0,5.29E-04,,,,
"chess park, santa monica",1,1.2,1,greenspace,450.64,85.42520905,51.60027313,NA,NA,34.01013007,-118.4949324,0,0,NA,79,95,96,90,6.25,dirt,0,19.65,,NA,,NA,,west,NA,0,0,,,VARIABLE COLOR CODING,
"chess park, santa monica",1,1.3,1,greenspace,450.64,85.42520905,51.60027313,NA,NA,34.01013007,-118.4949324,0,0,NA,93,96,96,96,0.78,dirt,0,28.05,,NA,,NA,,south,NA,0,0,,,INDEPENDENT,DEPENDENT
"culver slauson park, del ray",2,2.1,1,greenspace,510.12,88.02849579,53.82082367,NA,NA,33.99438979,-118.4059268,0,0,NA,14,54,82,35,51.82,dirt,0,1.6,,>30,,NA,,east,NA,0,0,,,continuous,continuous
"culver slauson park, del ray",2,2.2,1,greenspace,510.12,88.02849579,53.82082367,NA,NA,33.99438979,-118.4059268,0,0,NA,73,37,69,96,28.39,dirt,0,4,,>30,,NA,,center,NA,0,0,,,categorical,categorical
"culver slauson park, del ray",2,2.3,1,greenspace,510.12,88.02849579,53.82082367,NA,NA,33.99438979,-118.4059268,0,0,NA,90,60,65,96,19.01,dirt,0,5.07,,>30,,NA,,east,NA,0,0,,,,
"del ray lagoon, marina del ray",3,3.1,1,waterway,201.45,88.44630432,54.87342453,NA,NA,33.95984443,-118.4508347,0,0,NA,6,59,62,56,52.34,dirt,0,7.05,,7.05,,NA,,north,NA,0,0,,,,
"del ray lagoon, marina del ray",3,3.2,1,waterway,201.45,88.44630432,54.87342453,NA,NA,33.95984443,-118.4508347,0,0,NA,38,73,72,96,27.34,dirt,0,19.65,,19.65,,NA,,west,NA,0,0,,,,
"del ray lagoon, marina del ray",3,3.3,1,waterway,201.45,88.44630432,54.87342453,NA,NA,33.95984443,-118.4508347,0,0,NA,52,80,96,71,22.14,dirt,0,22.1,,22.1,,NA,,center,NA,0,0,,,,
"lennox park, lennox",4,4.1,1,greenspace,420.27,85.31671143,52.73753357,NA,NA,33.93748888,-118.3585989,1,1,B,61,4,29,91,51.82,tree bark,1,12.03,,>30,,NA,,center,NA,0,0.012,,,,
"lennox park, lennox",4,4.2,1,greenspace,420.27,85.31671143,52.73753357,NA,NA,33.93748888,-118.3585989,0,0,NA,96,96,96,96,0.00,dirt,0,>30,,>30,,NA,,north,NA,1,0,muddy,,,
"lennox park, lennox",4,4.3,1,greenspace,420.27,85.31671143,52.73753357,NA,NA,33.93748888,-118.3585989,0,0,NA,96,96,96,96,0.00,dirt,0,>30,,>30,,NA,,west,NA,1,0,muddy,,,
"whittier blvd, boyle heights",5,5.1,2,urban,8230.12,83.63890076,43.58328629,34.034444,-118.215556,34.034444,-118.215556,0,0,NA,96,96,59,85,12.50,concrete,2,0,,6.5,,NA,,north,0,0,0,,,,
"whittier blvd, boyle heights",5,5.2,2,urban,8230.12,83.63890076,43.58328629,34.034444,-118.215278,34.034444,-118.215278,0,0,NA,90,69,96,93,9.38,concrete,2,0,,3.6,,NA,,center,0,0,0,,,,
"whittier blvd, boyle heights",5,5.3,2,urban,8230.12,83.63890076,43.58328629,34.034167,-118.215278,34.034167,-118.215278,0,0,NA,6,75,89,23,49.74,concrete,2,0,,3.4,,NA,,center,0,0,0,,,,
"echo park lake, echo park",6,6.1,2,waterway,9018.1,83.38328552,42.36054611,34.071667,-118.261389,34.071667,-118.261389,1,1,I,1,51,90,66,45.83,dirt,0,0.85,,NA,,8.7,,3 east,6,0,0.005,,,,
"echo park lake, echo park",6,6.2,2,waterway,9018.1,83.38328552,42.36054611,34.071667,-118.261389,34.071667,-118.261389,0,0,NA,95,4,77,87,31.51,dirt,0,0.2,,NA,,8.2,,south,1,0,0,,,,
"echo park lake, echo park",6,6.3,2,waterway,9018.1,83.38328552,42.36054611,34.071944,-118.261389,34.071944,-118.261389,1,1,I,88,70,78,67,21.09,dirt,0,0.7,,NA,,8.15,,center,3,0,7.94E-04,,,,
"s bronson ave, mid-wilshire",7,7.1,1,urban,4592.96,84.79342651,43.94438171,34.061389,-118.318056,34.061389,-118.318056,1,1,,44,3,15,75,64.32,dirt ,0,2,,0,,NA,,east,19,0,0.007,,,,
"s bronson ave, mid-wilshire",7,7.2,1,urban,4592.96,84.79342651,43.94438171,34.061111,-118.318333,34.061111,-118.318333,0,0,NA,68,91,94,90,10.68,concrete,2,0,,0,,NA,,east,0,0,0,,,,
"s bronson ave, mid-wilshire",7,7.3,1,urban,4592.96,84.79342651,43.94438171,34.061111,-118.318333,34.061111,-118.318333,0,0,NA,16,96,87,31,40.10,concrete,2,0,,3.8,,NA,,center,0,0,0,,,,
"s stanley ave, mid-wilshire",8,8.1,1,residential,3386.47,85.01123047,45.59041214,34.055,-118.359444,34.055,-118.359444,1,1,,41,93,83,91,19.79,dirt,0,0.5,,5.65,,NA,,south,18,0,0.009,,,,
"s stanley ave, mid-wilshire",8,8.2,1,residential,3386.47,85.01123047,45.59041214,34.055,-118.359444,34.055,-118.359444,0,0,NA,87,74,96,96,8.07,rock,3,2.5,,1.4,,NA,,east,0,0,0,,,,
"s stanley ave, mid-wilshire",8,8.3,1,residential,3386.47,85.01123047,45.59041214,34.055556,-118.358889,34.055556,-118.358889,0,0,NA,70,96,87,51,20.83,rock,3,2.84,,0.84,,NA,,east,1,0,0,">30, not accessible for sampling",,,
"doreen ave, el monte",9,9.1,3,residential,16306.1,80.37150574,37.27780914,34.059167,-118.044722,34.059167,-118.044722,1,1,,64,36,25,84,45.57,dirt,0,0.3,,1.4,,NA,,center,4,0,0.002,,,,
"doreen ave, el monte",9,9.2,3,residential,16306.1,80.37150574,37.27780914,34.059167,-118.044722,34.059167,-118.044722,0,0,NA,96,96,18,77,25.26,dirt,0,0.3,,1.4,,NA,,south,0,0,0,,,,
"doreen ave, el monte",9,9.3,3,residential,16306.1,80.37150574,37.27780914,34.059167,-118.044722,34.059167,-118.044722,0,0,NA,96,96,96,16,20.83,asphalt,4,0,,0,,NA,,south,0,0,0,,,,
rio hondo river trail,10,10.1,3,waterway,17600,79.36082458,36.03671265,34.0825,-118.038056,34.0825,-118.038056,0,0,NA,93,96,95,48,13.54,asphalt,4,0,,NA,,10,,center,0,0,0,,,,
rio hondo river trail,10,10.2,3,waterway,17600,79.36082458,36.03671265,34.0825,-118.038056,34.0825,-118.038056,0,0,NA,95,96,96,5,23.96,asphalt,4,0,,NA,,10,,center,0,0,0,,,,
rio hondo river trail,10,10.3,3,waterway,17600,79.36082458,36.03671265,34.082778,-118.037778,34.082778,-118.037778,0,0,NA,81,96,93,16,25.52,asphalt,4,0,,NA,,10,,north,0,0,0,,,,
westminster ave x w mission rd,11,11.1,3,urban,15919.5,81.78821564,38.80383682,34.079167,-118.155833,34.079167,-118.155833,1,1,,92,79,90,8,29.95,dirt,0,0,,1.04,,NA,,east,5,0,,,,,
westminster ave x w mission rd,11,11.2,3,urban,15919.5,81.78821564,38.80383682,34.079167,-118.155278,34.079167,-118.155278,0,0,NA,15,96,91,8,45.31,dirt,0,0,,1.2,,NA,,center,4,0,0,,,,
westminster ave x w mission rd,11,11.3,3,urban,15919.5,81.78821564,38.80383682,34.079444,-118.155833,34.079444,-118.155833,0,0,NA,92,85,96,8,26.82,concrete ,2,0,,0.85,,NA,,center,2,0,0,,,,
"redfield ave, hermon LA",12,12.1,2,residential,14815.5,82.2983551,37.28849411,34.102222,-118.186389,34.102222,-118.186389,1,1,,96,92,82,28,22.40,dirt,0,0,,2.8,,NA,,east,26,0,0.012,,,,
"redfield ave, hermon LA",12,12.2,2,residential,14815.5,82.2983551,37.28849411,34.102222,-118.186389,34.102222,-118.186389,1,1,,96,96,96,24,18.75,dirt,0,0,,2.5,,NA,,center,14,0,0.011,,,,
"redfield ave, hermon LA",12,12.3,2,residential,14815.5,82.2983551,37.28849411,34.102222,-118.186111,34.102222,-118.186111,0,0,NA,96,96,88,80,6.25,asphalt ,4,4,,0,,NA,,north,0,0,0,,,,
"glendon ave, pasadena",13,13.1,2,residential,15318.4,81.34410858,35.92082214,34.111389,-118.158056,34.111389,-118.158056,1,1,,73,32,11,5,68.49,dirt,0,0.85,,0.97,,NA,,west,6,0,0.021,,,,
"glendon ave, pasadena",13,13.2,2,residential,15318.4,81.34410858,35.92082214,34.111389,-118.158333,34.111389,-118.158333,1,1,,8,45,41,5,74.22,dirt,0,1.54,,0.35,,NA,,west,8,0,0.012,,,,
"glendon ave, pasadena",13,13.3,2,residential,15318.4,81.34410858,35.92082214,34.111667,-118.158333,34.111667,-118.158333,1,1,,91,89,21,1,47.40,dirt,0,1.8,,0.1,,NA,,west,8,0,0.032,,,,
"foothills blvd, slymar",14,14.1,1,urban,2188.75,74.41643524,33.12109756,34.291389,-118.412778,34.291389,-118.412778,0,0,NA,27,3,63,88,52.86,concrete,2,0,,2.44,,NA,,north,3,0,0,,,,
"foothills blvd, slymar",14,14.2,1,urban,2188.75,74.41643524,33.12109756,34.291667,-118.413056,34.291667,-118.413056,0,0,NA,12,26,39,81,58.85,concrete,2,0,,2.54,,NA,,east,0,0,0,,,,
"foothills blvd, slymar",14,14.3,1,urban,2188.75,74.41643524,33.12109756,34.291111,-118.4125,34.291111,-118.4125,0,0,NA,95,93,29,66,26.30,concrete,2,0,,2,,NA,,center,0,0,0,,,,
"strathern st, pasadena",15,15.1,1,residential,761.49,80.70410919,33.87726212,34.215833,-118.371944,34.215833,-118.371944,1,1,,94,59,51,76,27.08,dirt,0,0,,1.23,,NA,,center,14,1,0.074,,,,
"strathern st, pasadena",15,15.2,1,residential,761.49,80.70410919,33.87726212,34.215556,-118.371944,34.215556,-118.371944,1,2,,16,85,48,60,45.57,dirt,0,1.1,,0.1,,NA,,west,40,1,0.012,,,,
"strathern st, pasadena",15,15.3,1,residential,761.49,80.70410919,33.87726212,34.215833,-118.372222,34.215833,-118.372222,1,2,,64,85,57,72,27.60,dirt,0,1.1,,0.1,,NA,,north,31,1,0.0412,,,,
la cañada teepee,16,16.1,4,greenspace,33134.6,65.85232544,32.63040924,34.224444,-118.195833,34.224444,-118.195833,1,4,,47,34,66,9,59.38,dirt,"3, 0",2.4,,NA,,NA,,east,65,0,0.05,,,,
la cañada teepee,16,16.2,4,greenspace,33134.6,65.85232544,32.63040924,34.224444,-118.195833,34.224444,-118.195833,1,5,,4,5,4,3,95.83,dirt,"3, 0",2.7,,NA,,NA,,north,74,0,0.029,,,,
la cañada teepee,16,16.3,4,greenspace,33134.6,65.85232544,32.63040924,34.223333,-118.196389,34.223333,-118.196389,0,0,NA,11,2,12,8,91.41,dirt,0,0,,NA,,NA,,center,23,0,0,,,,
"foothill blvd, la verne",17,17.1,4,urban,27998.2,79.51808167,35.31479645,34.11083333,-117.7630556,34.11083333,-117.7630556,1,1,,76,96,94,95,5.99,dirt,0,5.7,,0.13,,NA,,center,11,0,0.048,,,,
"foothill blvd, la verne",17,17.2,4,urban,27998.2,79.51808167,35.31479645,34.11138889,-117.7633333,34.11138889,-117.7633333,1,1,,4,39,70,27,63.54,dirt,0,5,,0.62,,NA,,south,7,0,0.003,,,,
"foothill blvd, la verne",17,17.3,4,urban,27998.2,79.51808167,35.31479645,34.11111111,-117.7633333,34.11111111,-117.7633333,0,0,NA,93,94,96,96,1.30,dirt,"0, 2",5.5,,0,,NA,,center,5,0,0,,,,
"los encinos park, la verne",18,18.1,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7838889,34.12694444,-117.7838889,1,1,,21,47,88,82,38.02,dirt,0,0,,NA,,NA,,south,27,0,0.014,,,,
"los encinos park, la verne",18,18.2,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7838889,34.12694444,-117.7838889,1,1,,5,67,3,0,80.47,dirt ,0,0,,NA,,NA,,north,32,0,0.017,,,,
"los encinos park, la verne",18,18.3,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7841667,34.12694444,-117.7841667,1,1,,81,79,68,78,20.31,dirt ,0,0,,NA,,NA,,north,4,0,0.011,,,,
san dimas canyon community regional park,19,19.1,4,greenspace,27098.9,70.45424652,36.05397415,34.1275,-117.7925,34.1275,-117.7925,1,NA,NA,25,40,4,14,78.39,dirt,0,5.8,,16.2,,NA,,west,13,0,0.008,,,,
san dimas canyon community regional park,19,19.2,4,greenspace,27098.9,70.45424652,36.05397415,34.12722222,-117.7927778,34.12722222,-117.7927778,0,0,NA,6,14,8,12,89.58,dirt,0,21.6,,9.6,,NA,,south,2,0,0,,,,
san dimas canyon community regional park,19,19.3,4,greenspace,27098.9,70.45424652,36.05397415,34.1275,-117.7930556,34.1275,-117.7930556,0,0,NA,8,10,7,10,90.89,dirt,0,>30,,17,,NA,,west,0,0,0,,,,
"overland ct, san dimas",20,20.1,3,urban,24984.2,77.49671173,33.85397339,34.11138889,-117.8263889,34.11138889,-117.8263889,1,1,,3,18,53,92,56.77,dirt,0,>30,,4.9,,NA,,east,25,0,0.035,,,,
"overland ct, san dimas",20,20.2,3,urban,24984.2,77.49671173,33.85397339,34.11166667,-117.8263889,34.11166667,-117.8263889,1,1,,95,43,48,72,32.81,dirt,0,>30,,0.04,,NA,,east,44,0,0.01,,,,
"overland ct, san dimas",20,20.3,3,urban,24984.2,77.49671173,33.85397339,34.11194444,-117.8261111,34.11194444,-117.8261111,1,1,,6,59,30,80,54.43,dirt,0,>30,,0.04,,NA,,west,27,0,0.045,,,,
legg lake,21,21.1,2,waterway,14055.4,82.69287872,39.36328888,34.03666667,-118.0575,34.03666667,-118.0575,1,1,,96,86,77,16,28.39,dirt,0,7.6,,NA,,14.8,,north,39,0,0.008,,,,
legg lake,21,21.2,2,waterway,14055.4,82.69287872,39.36328888,34.03666667,-118.0575,34.03666667,-118.0575,0,0,NA,77,86,17,13,49.74,dirt,0,2.4,,NA,,17.1,,center,0,0,0,,,,
legg lake,21,21.3,2,waterway,14055.4,82.69287872,39.36328888,34.03694444,-118.0577778,34.03694444,-118.0577778,1,1,,10,85,13,49,59.11,"dirt, tree bark","0, 1",2.9,,NA,,14.4,,west,2,0,0.007,,,,
legg lake 2,23,23.1,2,waterway,14055.4,82.69287872,39.36328888,34.03833333,-118.0633333,34.03833333,-118.0633333,0,0,NA,96,95,10,53,33.85,sand,5,>30,,NA,,13.2,,east,10,0,0,,,,
legg lake 2,23,23.2,2,waterway,14055.4,82.69287872,39.36328888,34.03805556,-118.0633333,34.03805556,-118.0633333,0,0,NA,21,47,94,64,41.15,dirt,0,29.5,,21.4,,>30,,west,11,0,0,,,,
legg lake 2,23,23.3,2,waterway,14055.4,82.69287872,39.36328888,34.03805556,-118.0633333,34.03805556,-118.0633333,0,0,NA,95,81,70,22,30.21,sand,"0, 5",24.5,,26.8,,>30,,east,0,0,0,,,,
"w thirteenth st, azusa",24,24.1,4,residential,27212.8,71.11726379,33.54328918,34.14444444,-117.9069444,34.14444444,-117.9069444,1,1,,17,29,84,84,44.27,dirt,0,0,,1.35,,NA,,east,27,0,0.009,,,,
"w thirteenth st, azusa",24,24.2,4,residential,27212.8,71.11726379,33.54328918,34.14472222,-117.9077778,34.14472222,-117.9077778,0,0,NA,14,96,79,96,25.78,concrete,2,0,,1.55,,NA,,east,0,0,0,,,,
"w thirteenth st, azusa",24,24.3,4,residential,27212.8,71.11726379,33.54328918,34.14444444,-117.9072222,34.14444444,-117.9072222,1,1,,96,83,92,92,5.47,dirt,0,1.2,,0.12,,NA,,south,7,0,5.13E-04,,,,
santa fe dam rec area,25,25.1,3,waterway,22124,74.04356384,33.36684799,34.11138889,-117.9436111,34.11138889,-117.9436111,1,1,,1,0,9,29,89.84,dirt,0,4.4,,NA,,21.4,,west,12,0,0.01,,,,
santa fe dam rec area,25,25.2,3,waterway,22124,74.04356384,33.36684799,34.11138889,-117.9436111,34.11138889,-117.9436111,0,0,NA,6,25,5,27,83.59,dirt,0,2,,18.1,,>30,,center,100,0,0,,,,
santa fe dam rec area,25,25.3,3,waterway,22124,74.04356384,33.36684799,34.11638889,-117.94,34.11638889,-117.94,1,1,,37,96,96,70,22.14,dirt,0,0,,14,,NA,,north,4,0,5.13E-04,in concrete crack ,,,
